playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8476883,2025,Andrei Vasilevskiy,TBL,G,5on5,7,19949.0,10.56,11.0,259.0,7.92,11.0,32.52,19.0,130.55,111.0,5.52,0.0,68.83,57.0,52.82,79.0,10.4,134.0,35.0,8.0,4.06,4.37,2.13,5.0,4.0,2.0,82.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,4on5,7,2639.0,6.47,5.0,70.0,3.49,4.0,7.53,10.0,38.15,35.0,0.0,0.0,21.19,17.0,11.02,15.0,6.01,28.0,12.0,11.0,0.81,1.46,4.2,0.0,0.0,5.0,19.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,5on4,7,2774.0,1.01,0.0,9.0,0.43,1.0,0.99,0.0,5.59,6.0,1.86,1.0,2.0,1.0,3.34,6.0,0.89,5.0,1.0,2.0,0.23,0.11,0.67,0.0,0.0,0.0,1.0,0.0,0.0
8484170,2025,Jacob Fowler,MTL,G,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8484170,2025,Jacob Fowler,MTL,G,all,1,503.0,0.51,1.0,4.0,0.08,0.0,0.5,0.0,2.19,2.0,0.1,0.0,1.0,1.0,0.85,1.0,0.51,2.0,0.0,1.0,0.03,0.0,0.47,0.0,0.0,1.0,1.0,0.0,0.0
8484170,2025,Jacob Fowler,MTL,G,5on5,1,470.0,0.03,0.0,3.0,0.06,0.0,0.41,0.0,1.38,1.0,0.1,0.0,0.77,1.0,0.7,1.0,0.03,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8484170,2025,Jacob Fowler,MTL,G,4on5,1,33.0,0.47,1.0,1.0,0.03,0.0,0.1,0.0,0.82,1.0,0.0,0.0,0.23,0.0,0.15,0.0,0.47,0.0,0.0,1.0,0.0,0.0,0.47,0.0,0.0,1.0,0.0,0.0,0.0
8484170,2025,Jacob Fowler,MTL,G,5on4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475809,2025,Scott Wedgewood,COL,G,other,11,1210.0,1.78,4.0,21.0,1.0,0.0,2.14,2.0,11.38,12.0,0.38,0.0,6.45,8.0,3.23,1.0,1.73,7.0,7.0,1.0,0.41,0.93,0.43,1.0,2.0,1.0,6.0,0.0,0.0
8475809,2025,Scott Wedgewood,COL,G,all,11,36367.0,25.36,25.0,559.0,20.23,34.0,73.92,66.0,291.05,260.0,11.86,1.0,149.76,129.0,111.78,135.0,24.33,289.0,69.0,33.0,6.84,8.75,9.77,8.0,8.0,9.0,168.0,0.0,0.0
8475809,2025,Scott Wedgewood,COL,G,5on5,11,29586.0,17.37,16.0,449.0,14.12,27.0,59.31,53.0,225.69,196.0,9.69,1.0,115.7,96.0,90.86,112.0,16.79,234.0,49.0,22.0,5.5,6.19,5.69,7.0,5.0,4.0,144.0,0.0,0.0
8475809,2025,Scott Wedgewood,COL,G,4on5,11,2786.0,5.43,4.0,76.0,4.63,7.0,11.06,11.0,46.29,42.0,0.3,0.0,24.71,20.0,12.61,17.0,5.02,40.0,11.0,9.0,0.79,1.3,3.33,0.0,1.0,3.0,16.0,0.0,0.0
8475809,2025,Scott Wedgewood,COL,G,5on4,11,2785.0,0.79,1.0,13.0,0.48,0.0,1.42,0.0,7.69,10.0,1.48,0.0,2.9,5.0,5.07,5.0,0.79,8.0,2.0,1.0,0.14,0.33,0.32,0.0,0.0,1.0,2.0,0.0,0.0
8478435,2025,Dan Vladar,PHI,G,other,10,1684.0,2.59,3.0,29.0,1.01,1.0,3.87,1.0,17.45,17.0,0.46,0.0,8.15,9.0,6.8,9.0,2.22,14.0,5.0,4.0,0.46,0.66,1.47,0.0,1.0,2.0,6.0,0.0,0.0
8478435,2025,Dan Vladar,PHI,G,all,10,38000.0,31.52,23.0,671.0,24.0,41.0,90.39,53.0,356.37,294.0,8.4,0.0,191.63,195.0,139.11,177.0,29.8,384.0,70.0,35.0,10.82,9.18,11.52,8.0,7.0,8.0,182.0,2.0,1.0
8478435,2025,Dan Vladar,PHI,G,5on5,10,28848.0,20.55,14.0,514.0,17.19,31.0,71.66,43.0,270.12,222.0,6.28,0.0,146.14,149.0,107.05,135.0,19.83,301.0,53.0,18.0,8.56,6.98,5.01,7.0,5.0,2.0,142.0,2.0,1.0
8478435,2025,Dan Vladar,PHI,G,4on5,10,4110.0,6.72,5.0,111.0,5.1,7.0,12.95,9.0,57.21,44.0,0.47,0.0,33.88,36.0,18.38,22.0,6.52,60.0,10.0,9.0,1.55,1.32,3.85,1.0,0.0,4.0,32.0,0.0,0.0
8478435,2025,Dan Vladar,PHI,G,5on4,10,3358.0,1.66,1.0,17.0,0.71,2.0,1.91,0.0,11.59,11.0,1.2,0.0,3.45,1.0,6.87,11.0,1.23,9.0,2.0,4.0,0.25,0.22,1.2,0.0,1.0,0.0,2.0,0.0,0.0
8482487,2025,Jakub Dobes,MTL,G,other,18,3241.0,4.07,1.0,80.0,2.77,4.0,8.04,4.0,38.61,38.0,0.64,0.0,23.51,25.0,13.23,19.0,3.81,38.0,12.0,3.0,1.64,1.5,0.93,0.0,1.0,0.0,27.0,0.0,0.0
8482487,2025,Jakub Dobes,MTL,G,all,18,66889.0,61.65,47.0,1222.0,42.91,67.0,157.92,107.0,636.58,534.0,15.56,2.0,342.17,366.0,234.58,271.0,58.71,626.0,174.0,61.0,19.27,20.59,21.8,21.0,16.0,10.0,361.0,8.0,4.0
